
---------- Begin Simulation Statistics ----------
system.cpu.issuedInstType_0::SimdBf16Mult            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdBf16MultAcc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::Bf16Cvt                0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::System                 0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::total            8797004                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         2.345095                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              165560                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.018820                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 16415347                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                 9563014                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses         6030620                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                   3861228                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                  3290156                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses          1648658                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                  1217990                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                  666652                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses          536298                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                     6356757                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                      1934857                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                      660664                       # Number of vector alu accesses (Count)
system.cpu.numRecvResp                        1851618                       # Number of received responses (Count)
system.cpu.numRecvRespBytes                  12691056                       # Number of received response bytes (Byte)
system.cpu.recvRespAvgBW                         3.38                       # Average bandwidth of received responses ((Byte/Cycle))
system.cpu.recvRespAvgSize                       6.85                       # Average packet size per received response ((Byte/Count))
system.cpu.recvRespAvgRate                       0.49                       # Average rate of received responses per cycle ((Count/Cycle))
system.cpu.recvRespAvgRetryRate                  0.00                       # Average retry rate per received response ((Count/Count))
system.cpu.numSendRetryResp                         0                       # Number of retry responses sent (Count)
system.cpu.numSquashedInsts                    434427                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             527                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           35702                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads        1589716                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        704004                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       151711                       # Number of conflicting loads. (Count)
